,name,handedness,height,weight,avg,HR,w_group
20,Jeff Barkley,Both,75,185,0,0,"(180, 190]"
30,Nardi Contreras,Both,74,193,0,0,"(190, 200]"
73,Mickey Lolich,Both,73,170,0.11,0,"(160, 170]"
74,Ray Chadwick,Both,74,180,0,0,"(170, 180]"
97,Marty Martinez,Both,72,170,0.243,0,"(160, 170]"
126,Randy Scarbery,Both,73,185,0,0,"(180, 190]"
160,Barry Raziano,Both,70,175,0,0,"(170, 180]"
182,Bob Didier,Both,72,190,0.229,0,"(180, 190]"
286,Steve Burke,Both,74,200,0,0,"(190, 200]"
318,Mark Brown,Both,74,190,0,0,"(180, 190]"
371,Lafayette Currence,Both,71,175,0,0,"(170, 180]"
403,Bert Bradley,Both,73,190,0,0,"(180, 190]"
460,Fred Norman,Both,68,155,0.125,0,"(150, 160]"
473,Chuck Hockenbery,Both,73,195,0,0,"(190, 200]"
489,Jeff Schneider,Both,75,195,0,0,"(190, 200]"
521,Larry Lintz,Both,69,150,0.227,0,"(140, 150]"
548,Pete Filson,Both,74,195,0,0,"(190, 200]"
560,Steve Cummings,Both,74,200,0,0,"(190, 200]"
584,Bob Veale,Both,78,212,0.114,0,"(210, 220]"
811,John Bohnet,Both,72,175,0,0,"(170, 180]"
1152,Gary Lance,Both,75,195,0,0,"(190, 200]"
10,John LaRose,Left,73,185,0,0,"(180, 190]"
14,Jerry Kutzler,Left,73,175,0,0,"(170, 180]"
22,Britt Burns,Left,77,215,0,0,"(210, 220]"
43,Jerry Garvin,Left,75,195,0,0,"(190, 200]"
47,Kevin Mmahat,Left,77,220,0,0,"(210, 220]"
54,Kevin Stanfield,Left,72,190,0,0,"(180, 190]"
65,Bob Fallon,Left,75,200,0,0,"(190, 200]"
89,Tony Ferreira,Left,73,160,0,0,"(150, 160]"
95,Bryan Oelkers,Left,75,192,0,0,"(190, 200]"
96,Kevin Bearse,Left,74,195,0,0,"(190, 200]"
135,Mike Jones,Left,78,215,0,0,"(210, 220]"
143,Zach Crouch,Left,75,180,0,0,"(170, 180]"
147,Bruce Tanner,Left,75,220,0,0,"(210, 220]"
164,Pat Underwood,Left,72,175,0,0,"(170, 180]"
170,Joel McKeon,Left,72,185,0,0,"(180, 190]"
193,Bruce Robbins,Left,73,190,0,0,"(180, 190]"
212,Brian Dubois,Left,70,165,0,0,"(160, 170]"
218,Vance Lovelace,Left,77,205,0,0,"(200, 210]"
224,Ralph Botting,Left,72,195,0,0,"(190, 200]"
258,Ed Crosby,Left,74,175,0.22,0,"(170, 180]"
266,Jim Umbarger,Left,78,200,0,0,"(190, 200]"
272,Curt Wardle,Left,77,220,0,0,"(210, 220]"
285,Israel Sanchez,Left,69,170,0,0,"(160, 170]"
298,Narciso Elvira,Left,70,160,0,0,"(150, 160]"
322,Len Whitehouse,Left,71,175,0,0,"(170, 180]"
353,Joe Pactwa,Left,71,185,0,0,"(180, 190]"
364,Sherman Corbett,Left,76,205,0,0,"(200, 210]"
394,Mike Smithson,Left,80,215,0,0,"(210, 220]"
420,Reggie Ritter,Left,74,195,0,0,"(190, 200]"
488,Mike Rochford,Left,76,205,0,0,"(200, 210]"
501,Angel Moreno,Left,69,165,0,0,"(160, 170]"
509,Randy Wiles,Left,73,185,0,0,"(180, 190]"
527,Jeff Schattinger,Left,77,200,0,0,"(190, 200]"
539,Tim Johnson,Left,73,170,0.223,0,"(160, 170]"
558,Jeff Twitty,Left,74,185,0,0,"(180, 190]"
617,Joel Davis,Left,77,205,0,0,"(200, 210]"
630,Steve Barr,Left,76,200,0,0,"(190, 200]"
649,Steve Davis,Left,73,195,0,0,"(190, 200]"
650,Jeff Rineer,Left,76,205,0,0,"(200, 210]"
658,Mark Mercer,Left,77,220,0,0,"(210, 220]"
703,Dave Stapleton,Left,73,185,0,0,"(180, 190]"
712,Gary Christenson,Left,77,200,0,0,"(190, 200]"
716,Mike Kinnunen,Left,73,185,0,0,"(180, 190]"
718,Dave Rajsich,Left,77,175,0,0,"(170, 180]"
771,Mike Pazik,Left,74,195,0,0,"(190, 200]"
790,Mark Souza,Left,72,180,0,0,"(170, 180]"
794,Rick Jones,Left,77,190,0,0,"(180, 190]"
814,Luis Quintana,Left,74,175,0,0,"(170, 180]"
836,Brian Snyder,Left,75,185,0,0,"(180, 190]"
871,Dennis DeBarr,Left,74,190,0,0,"(180, 190]"
895,Ed Hodge,Left,74,192,0,0,"(190, 200]"
903,Jim Campbell,Left,71,175,0,0,"(170, 180]"
910,Bob Galasso,Left,73,205,0,0,"(200, 210]"
915,Juan Nieves,Left,75,175,0,0,"(170, 180]"
952,Bruce Ellingsen,Left,72,180,0,0,"(170, 180]"
954,Gorman Heimueller,Left,76,195,0,0,"(190, 200]"
1044,Dan Morogiello,Left,73,200,0,0,"(190, 200]"
1108,John Poloni,Left,77,210,0,0,"(200, 210]"
1112,Mike Willis,Left,74,205,0,0,"(200, 210]"
1131,Jerry Augustine,Left,72,183,0,0,"(180, 190]"
1135,Jeff Holly,Left,77,210,0,0,"(200, 210]"
1150,Larry Rothschild,Left,74,180,0,0,"(170, 180]"
0,Tom Brown,Right,73,170,0,0,"(160, 170]"
9,Ozzie Osborn,Right,74,195,0,0,"(190, 200]"
11,Jeff Byrd,Right,75,195,0,0,"(190, 200]"
21,Eric Wilkins,Right,73,190,0,0,"(180, 190]"
34,Jack Billingham,Right,76,195,0.111,0,"(190, 200]"
38,Gil Patterson,Right,73,185,0,0,"(180, 190]"
44,Steve Eddy,Right,74,185,0,0,"(180, 190]"
51,Jim Siwy,Right,76,200,0,0,"(190, 200]"
52,Bud Anderson,Right,75,210,0,0,"(200, 210]"
56,John Butcher,Right,76,185,0,0,"(180, 190]"
57,Jerry Ujdur,Right,73,195,0,0,"(190, 200]"
62,Brian Denman,Right,76,205,0,0,"(200, 210]"
71,Steve Curry,Right,78,217,0,0,"(210, 220]"
79,Bryan Clutterbuck,Right,76,223,0,0,"(220, 230]"
102,Jose Roman,Right,72,175,0,0,"(170, 180]"
105,Mike Trujillo,Right,73,180,0,0,"(170, 180]"
106,Albert Williams,Right,76,190,0,0,"(180, 190]"
107,Oswaldo Peraza,Right,76,172,0,0,"(170, 180]"
111,Barry Cort,Right,77,210,0,0,"(200, 210]"
115,Bill Wilkinson,Right,70,160,0,0,"(150, 160]"
117,Mike Loynd,Right,76,210,0,0,"(200, 210]"
128,Ben Callahan,Right,79,230,0,0,"(220, 230]"
133,Bobby Cuellar,Right,71,188,0,0,"(180, 190]"
137,Ramon Manon,Right,72,150,0,0,"(140, 150]"
141,John Trautwein,Right,75,205,0,0,"(200, 210]"
142,Andy Replogle,Right,77,205,0,0,"(200, 210]"
145,Ron Romanick,Right,76,195,0,0,"(190, 200]"
158,Dave Ford,Right,76,190,0,0,"(180, 190]"
171,Danny Fife,Right,75,175,0,0,"(170, 180]"
192,Andy Beene,Right,75,205,0,0,"(200, 210]"
195,Leon Hooten,Right,71,180,0,0,"(170, 180]"
202,Allan Ramirez,Right,70,180,0,0,"(170, 180]"
207,Brian Allard,Right,73,175,0,0,"(170, 180]"
209,Fernando Arroyo,Right,74,180,0,0,"(170, 180]"
210,Gary Beare,Right,76,205,0,0,"(200, 210]"
215,Chris Batton,Right,76,195,0,0,"(190, 200]"
219,Greg Thayer,Right,71,182,0,0,"(180, 190]"
221,Paul Hartzell,Right,77,200,0,0,"(190, 200]"
226,Steve Rogers,Right,74,175,0.138,0,"(170, 180]"
227,Keith Creel,Right,74,180,0,0,"(170, 180]"
247,Mike Smith,Right,75,180,0,0,"(170, 180]"
249,T.R. Bryden,Right,76,190,0,0,"(180, 190]"
252,Tom Makowski,Right,71,185,0,0,"(180, 190]"
269,Mike Darr,Right,76,190,0,0,"(180, 190]"
270,Craig Robinson,Right,70,165,0.219,0,"(160, 170]"
290,Terry Taylor,Right,73,180,0,0,"(170, 180]"
296,Randy Nosek,Right,76,215,0,0,"(210, 220]"
300,Mark Smith,Right,74,215,0,0,"(210, 220]"
301,Paul Mitchell,Right,73,195,0,0,"(190, 200]"
309,Butch Edge,Right,75,203,0,0,"(200, 210]"
314,Gary Mielke,Right,75,185,0,0,"(180, 190]"
315,Rick Henninger,Right,78,225,0,0,"(220, 230]"
321,Rafael Vasquez,Right,72,160,0,0,"(150, 160]"
326,Steve Adkins,Right,78,210,0,0,"(200, 210]"
328,Joe Horlen,Right,72,170,0.134,0,"(160, 170]"
330,Tony Mack,Right,70,177,0,0,"(170, 180]"
332,Bill Moran,Right,76,210,0,0,"(200, 210]"
334,Cesar Gutierrez,Right,69,155,0.235,0,"(150, 160]"
338,Tom Gilles,Right,73,185,0,0,"(180, 190]"
351,Bob Kammeyer,Right,76,210,0,0,"(200, 210]"
374,John Pawlowski,Right,74,175,0,0,"(170, 180]"
376,Jack Hardy,Right,74,175,0,0,"(170, 180]"
377,Ron Musselman,Right,74,185,0,0,"(180, 190]"
379,Tony Chevez,Right,71,177,0,0,"(170, 180]"
391,Gary Ignasiak,Right,71,185,0,0,"(180, 190]"
401,Joe Skalski,Right,75,190,0,0,"(180, 190]"
410,Francisco Barrios,Right,71,155,0,0,"(150, 160]"
423,Bob Babcock,Right,77,210,0,0,"(200, 210]"
424,Craig Eaton,Right,71,175,0,0,"(170, 180]"
439,Roy Branch,Right,72,175,0,0,"(170, 180]"
458,Rob Woodward,Right,75,185,0,0,"(180, 190]"
466,Randy Jones,Right,72,178,0.132,0,"(170, 180]"
468,Bob Veselic,Right,72,175,0,0,"(170, 180]"
474,Bob Ferris,Right,78,225,0,0,"(220, 230]"
479,Gary Wheelock,Right,75,205,0,0,"(200, 210]"
497,Luis Encarnacion,Right,70,178,0,0,"(170, 180]"
498,Rick Kreuger,Right,74,185,0,0,"(180, 190]"
502,Roger Weaver,Right,75,190,0,0,"(180, 190]"
505,Chris Knapp,Right,77,195,0,0,"(190, 200]"
508,Don Welchel,Right,76,205,0,0,"(200, 210]"
523,Dewey Robinson,Right,72,180,0,0,"(170, 180]"
526,Tony Arnold,Right,71,170,0,0,"(160, 170]"
528,Ike Brookens,Right,77,170,0,0,"(160, 170]"
531,Win Remmerswaal,Right,74,160,0,0,"(150, 160]"
532,Jeff Peterek,Right,74,195,0,0,"(190, 200]"
534,Jeff Shaver,Right,75,195,0,0,"(190, 200]"
552,Jim Gideon,Right,75,190,0,0,"(180, 190]"
565,Jose Cecena,Right,71,180,0,0,"(170, 180]"
577,Greg Erardi,Right,73,190,0,0,"(180, 190]"
578,Jim Farr,Right,73,195,0,0,"(190, 200]"
583,Frank Dimichele,Right,75,205,0,0,"(200, 210]"
590,Mike Warren,Right,73,175,0,0,"(170, 180]"
595,Bill Fulton,Right,75,195,0,0,"(190, 200]"
597,Larry Anderson,Right,75,190,0,0,"(180, 190]"
599,Craig Mitchell,Right,75,180,0,0,"(170, 180]"
603,Alfredo Martinez,Right,75,185,0,0,"(180, 190]"
604,Dean Chance,Right,75,200,0.066,0,"(190, 200]"
620,Bill Mooneyham,Right,72,175,0,0,"(170, 180]"
621,John Hobbs,Right,75,190,0,0,"(180, 190]"
623,John Denny,Right,75,185,0.17,0,"(180, 190]"
629,Karl Best,Right,76,190,0,0,"(180, 190]"
636,Luis Sanchez,Right,74,170,0,0,"(160, 170]"
645,Mike Brown,Right,74,195,0,0,"(190, 200]"
667,John Caneira,Right,75,180,0,0,"(170, 180]"
671,Clint Zavaras,Right,73,175,0,0,"(170, 180]"
674,Mike Parrott,Right,76,210,0,0,"(200, 210]"
680,Luis Aponte,Right,72,185,0,0,"(180, 190]"
683,Paul Boris,Right,74,200,0,0,"(190, 200]"
685,De Wayne Buice,Right,72,170,0,0,"(160, 170]"
696,Mark Esser,Right,73,190,0,0,"(180, 190]"
698,Daryl Smith,Right,76,185,0,0,"(180, 190]"
699,Dave Smith,Right,73,190,0,0,"(180, 190]"
710,Tom Klawitter,Right,74,190,0,0,"(180, 190]"
713,Jim Wright,Right,77,205,0,0,"(200, 210]"
714,Jim Wright,Right,73,165,0,0,"(160, 170]"
723,Ramon Pena,Right,70,155,0,0,"(150, 160]"
726,Chico Escarrega,Right,71,185,0,0,"(180, 190]"
728,Cardell Camper,Right,75,208,0,0,"(200, 210]"
734,Mike Overy,Right,74,190,0,0,"(180, 190]"
739,Craig Chamberlain,Right,73,190,0,0,"(180, 190]"
746,Frank Eufemia,Right,71,185,0,0,"(180, 190]"
751,Jack Lazorko,Right,71,200,0,0,"(190, 200]"
752,Mike Paxton,Right,71,190,0,0,"(180, 190]"
754,Rickey Keeton,Right,74,190,0,0,"(180, 190]"
763,Terry Felton,Right,73,180,0,0,"(170, 180]"
765,Mark Clear,Right,76,200,0,0,"(190, 200]"
781,Rich Barnes,Right,76,186,0,0,"(180, 190]"
789,Dave Frost,Right,78,235,0,0,"(230, 240]"
797,Jim Dorsey,Right,79,190,0,0,"(180, 190]"
798,Mark Ciardi,Right,72,180,0,0,"(170, 180]"
799,Dennis Burtt,Right,72,180,0,0,"(170, 180]"
803,Rich Yett,Right,74,187,0,0,"(180, 190]"
806,Matt Williams,Right,73,200,0,0,"(190, 200]"
807,Jim Burton,Right,75,195,0,0,"(190, 200]"
808,Rick Anderson,Right,74,210,0,0,"(200, 210]"
809,Charlie Mitchell,Right,75,170,0,0,"(160, 170]"
810,Bill Paschall,Right,72,175,0,0,"(170, 180]"
812,Byron McLaughlin,Right,73,175,0,0,"(170, 180]"
823,Keith Macwhorter,Right,76,190,0,0,"(180, 190]"
825,Jaime Cocanower,Right,76,200,0,0,"(190, 200]"
826,Jeff Sellers,Right,73,175,0,0,"(170, 180]"
828,Steve Senteney,Right,74,205,0,0,"(200, 210]"
829,Howard Bailey,Right,72,195,0,0,"(190, 200]"
830,Jeff Bettendorf,Right,75,180,0,0,"(170, 180]"
833,Bob Davidson,Right,72,185,0,0,"(180, 190]"
839,Carlos Velazquez,Right,71,180,0,0,"(170, 180]"
840,Roger Miller,Right,75,200,0,0,"(190, 200]"
848,Willie Mueller,Right,76,220,0,0,"(210, 220]"
849,John Flinn,Right,72,175,0,0,"(170, 180]"
859,Les Straker,Right,73,193,0,0,"(190, 200]"
863,Don Kainer,Right,75,205,0,0,"(200, 210]"
864,Don Gordon,Right,73,175,0,0,"(170, 180]"
867,Sandy Wihtol,Right,73,195,0,0,"(190, 200]"
869,Jeff Richardson,Right,75,185,0,0,"(180, 190]"
888,Jay Pettibone,Right,76,182,0,0,"(180, 190]"
889,Glen Cook,Right,71,180,0,0,"(170, 180]"
894,Bill Castro,Right,71,170,0,0,"(160, 170]"
896,Tom Buskey,Right,75,200,0,0,"(190, 200]"
897,Bruce Taylor,Right,72,178,0,0,"(170, 180]"
898,Stan Thomas,Right,74,185,0,0,"(180, 190]"
900,Larry Monroe,Right,76,200,0,0,"(190, 200]"
901,Roger Slagle,Right,75,190,0,0,"(180, 190]"
905,Curt Kaufman,Right,74,175,0,0,"(170, 180]"
908,De Wayne Vaughn,Right,71,180,0,0,"(170, 180]"
911,Rich Wortham,Right,72,185,0,0,"(180, 190]"
916,Mike Bacsik,Right,74,180,0,0,"(170, 180]"
922,Phil Huffman,Right,74,180,0,0,"(170, 180]"
929,Steve Brown,Right,77,200,0,0,"(190, 200]"
930,Rick Lysander,Right,74,190,0,0,"(180, 190]"
939,Mel Stottlemyre,Right,72,190,0,0,"(180, 190]"
944,Alex Sanchez,Right,74,185,0,0,"(180, 190]"
950,Paul Wilmet,Right,71,170,0,0,"(160, 170]"
960,Ron Reed,Right,78,215,0.158,0,"(210, 220]"
961,Fred Howard,Right,75,190,0,0,"(180, 190]"
967,John Hoover,Right,74,190,0,0,"(180, 190]"
971,Mike Walters,Right,77,203,0,0,"(200, 210]"
986,Colby Ward,Right,74,185,0,0,"(180, 190]"
1000,Chuck Porter,Right,75,187,0,0,"(180, 190]"
1005,Tom Dozier,Right,74,190,0,0,"(180, 190]"
1013,Rick Steirer,Right,76,200,0,0,"(190, 200]"
1015,Al Lachowicz,Right,75,198,0,0,"(190, 200]"
1021,Tom McCarthy,Right,72,180,0,0,"(170, 180]"
1037,Jim Lewis,Right,75,190,0,0,"(180, 190]"
1053,Shawn Holman,Right,74,185,0,0,"(180, 190]"
1054,Alan Wirth,Right,76,190,0,0,"(180, 190]"
1063,Terry Wilshusen,Right,74,210,0,0,"(200, 210]"
1068,Steve Ellsworth,Right,80,220,0,0,"(210, 220]"
1079,Bryan Kelly,Right,74,195,0,0,"(190, 200]"
1085,Mick Kelleher,Right,69,176,0.213,0,"(170, 180]"
1092,Don Sutton,Right,73,185,0.144,0,"(180, 190]"
1098,John Leister,Right,74,200,0,0,"(190, 200]"
1099,Don Cooper,Right,73,185,0,0,"(180, 190]"
1106,Jeff Jones,Right,75,210,0,0,"(200, 210]"
1124,Stefan Wever,Right,80,245,0,0,"(240, 250]"
1127,Dave Johnson,Right,73,183,0,0,"(180, 190]"
1137,Eric Hetzel,Right,75,175,0,0,"(170, 180]"
1141,Luis Gomez,Right,69,150,0.21,0,"(140, 150]"
1142,Dave Lemanczyk,Right,76,235,0,0,"(230, 240]"
1143,Al Jones,Right,76,210,0,0,"(200, 210]"
1145,Sam Hinds,Right,78,215,0,0,"(210, 220]"
1147,Clay Christiansen,Right,77,205,0,0,"(200, 210]"
1155,Larry Pashnick,Right,75,205,0,0,"(200, 210]"
1156,Todd Fischer,Right,70,170,0,0,"(160, 170]"
1028,Darrell Brown,Both,72,184,0.274,1,"(180, 190]"
412,Jerry Reuss,Left,77,200,0.167,1,"(190, 200]"
639,Duane Kuiper,Left,72,175,0.271,1,"(170, 180]"
695,Brock Davis,Left,70,160,0.26,1,"(150, 160]"
37,Gary Nolan,Right,74,197,0.138,1,"(190, 200]"
42,Dick Ruthven,Right,75,190,0.183,1,"(180, 190]"
173,Joe Niekro,Right,73,185,0.156,1,"(180, 190]"
187,Denny McLain,Right,73,185,0.133,1,"(180, 190]"
250,Jose Arcia,Right,75,170,0.215,1,"(160, 170]"
362,Bob Randall,Right,74,175,0.257,1,"(170, 180]"
461,Woody Woodward,Right,74,180,0.236,1,"(170, 180]"
612,Joe Strain,Right,70,169,0.25,1,"(160, 170]"
737,Steve Blass,Right,72,165,0.172,1,"(160, 170]"
824,Don Wilson,Right,74,195,0.146,1,"(190, 200]"
853,Bob Heise,Right,72,175,0.247,1,"(170, 180]"
873,Bruce Miller,Right,73,185,0.246,1,"(180, 190]"
947,Ray Burris,Right,77,200,0.151,1,"(190, 200]"
977,Ray Culp,Right,72,200,0.123,1,"(190, 200]"
990,Mario Soto,Right,72,174,0.132,1,"(170, 180]"
994,Pepe Frias,Right,70,159,0.24,1,"(150, 160]"
1055,Gil Garrido,Right,69,150,0.237,1,"(140, 150]"
1148,Jim Barr,Right,75,205,0.162,1,"(200, 210]"
6,Fritz Peterson,Both,72,185,0.159,2,"(180, 190]"
131,Mike Ramsey,Both,73,170,0.24,2,"(160, 170]"
779,Rick Peters,Both,69,170,0.277,2,"(160, 170]"
1126,Chico Ruiz,Both,72,169,0.24,2,"(160, 170]"
634,Jose Tartabull,Left,71,165,0.261,2,"(160, 170]"
815,Sam McDowell,Left,77,190,0.154,2,"(180, 190]"
918,Rudy Meoli,Left,69,165,0.212,2,"(160, 170]"
1058,Jack Perconte,Left,70,160,0.27,2,"(150, 160]"
83,Jerry Koosman,Right,74,205,0.119,2,"(200, 210]"
153,Angel Salazar,Right,72,180,0.212,2,"(170, 180]"
181,Al Downing,Right,71,175,0.127,2,"(170, 180]"
223,Mike Champion,Right,72,185,0.229,2,"(180, 190]"
260,Frank Taveras,Right,72,155,0.255,2,"(150, 160]"
323,Danny Ainge,Right,76,175,0.22,2,"(170, 180]"
329,Glenn Burke,Right,72,195,0.237,2,"(190, 200]"
333,Enzo Hernandez,Right,68,155,0.224,2,"(150, 160]"
361,Woodie Fryman,Right,75,197,0.138,2,"(190, 200]"
404,Ken Holtzman,Right,74,175,0.163,2,"(170, 180]"
455,Barry Evans,Right,73,180,0.251,2,"(170, 180]"
522,Ron Theobald,Right,68,165,0.248,2,"(160, 170]"
619,Mike Edwards,Right,70,154,0.25,2,"(150, 160]"
740,Nate Oliver,Right,70,160,0.226,2,"(150, 160]"
1024,Tom Lawless,Right,71,170,0.207,2,"(160, 170]"
130,Manny Castillo,Both,69,160,0.242,3,"(150, 160]"
659,Rodney Scott,Both,72,160,0.236,3,"(150, 160]"
777,Bryan Little,Both,70,160,0.245,3,"(150, 160]"
264,Don Mason,Left,71,160,0.205,3,"(150, 160]"
453,Bobby Mitchell,Left,70,170,0.243,3,"(160, 170]"
41,Dave Skaggs,Right,74,200,0.241,3,"(190, 200]"
261,Joe Nossek,Right,72,178,0.228,3,"(170, 180]"
568,Onix Concepcion,Right,66,160,0.239,3,"(150, 160]"
706,Jim Lonborg,Right,77,200,0.136,3,"(190, 200]"
750,Jerry Zimmerman,Right,74,185,0.204,3,"(180, 190]"
932,Winston Llenas,Right,70,165,0.23,3,"(160, 170]"
970,Mark Wagner,Right,72,165,0.243,3,"(160, 170]"
1003,Rob Andrews,Right,72,185,0.251,3,"(180, 190]"
1049,Mike Fischlin,Right,73,165,0.22,3,"(160, 170]"
1065,Ron Brand,Right,67,167,0.239,3,"(160, 170]"
1070,Skip Jutze,Right,71,190,0.215,3,"(180, 190]"
1111,Jerry Dybzinski,Right,74,180,0.234,3,"(170, 180]"
116,Joe Lovitto,Both,72,185,0.216,4,"(180, 190]"
275,Rafael Landestoy,Both,70,165,0.237,4,"(160, 170]"
500,Vida Blue,Both,72,189,0.104,4,"(180, 190]"
393,John Donaldson,Left,71,160,0.238,4,"(150, 160]"
1057,Tom Matchick,Left,73,173,0.215,4,"(170, 180]"
1,Denny Lemaster,Right,73,182,0.13,4,"(180, 190]"
40,Larry Dierker,Right,76,215,0.136,4,"(210, 220]"
90,Elio Chacon,Right,69,160,0.232,4,"(150, 160]"
94,Tommy Dean,Right,72,165,0.18,4,"(160, 170]"
178,Mike Richardt,Right,72,170,0.226,4,"(160, 170]"
273,Pat Corrales,Right,72,180,0.216,4,"(170, 180]"
292,Mario Mendoza,Right,71,170,0.215,4,"(160, 170]"
431,Julio Gonzalez,Right,71,162,0.235,4,"(160, 170]"
472,Burt Hooton,Right,73,210,0.123,4,"(200, 210]"
499,Juan Marichal,Right,72,185,0.165,4,"(180, 190]"
801,Terry Harmon,Right,74,180,0.233,4,"(170, 180]"
1033,Jackie Gutierrez,Right,71,175,0.237,4,"(170, 180]"
1040,Junior Kennedy,Right,71,175,0.248,4,"(170, 180]"
1107,Jerry Terrell,Right,71,165,0.253,4,"(160, 170]"
1118,Ron Gardenhire,Right,72,175,0.232,4,"(170, 180]"
113,Steve Jeltz,Both,71,180,0.21,5,"(170, 180]"
446,Roger Metzger,Both,72,165,0.231,5,"(160, 170]"
513,Albert Hall,Both,71,155,0.251,5,"(150, 160]"
715,Wallace Johnson,Both,72,173,0.255,5,"(170, 180]"
757,Joaquin Andujar,Both,72,170,0.127,5,"(160, 170]"
886,Alan Wiggins,Both,74,160,0.259,5,"(150, 160]"
58,Scot Thompson,Left,75,195,0.262,5,"(190, 200]"
244,Jim French,Left,68,180,0.196,5,"(170, 180]"
741,Ray Sadecki,Left,71,180,0.191,5,"(170, 180]"
907,Steve Barber,Left,72,195,0.115,5,"(190, 200]"
965,Mike Brumley,Left,70,195,0.229,5,"(190, 200]"
32,Gene Clines,Right,69,170,0.277,5,"(160, 170]"
305,Mike Sadek,Right,69,165,0.226,5,"(160, 170]"
359,Luis Alvarado,Right,69,162,0.214,5,"(160, 170]"
380,Andy Messersmith,Right,73,200,0.17,5,"(190, 200]"
407,Tom Nieto,Right,73,193,0.205,5,"(190, 200]"
480,Lenny Faedo,Right,72,170,0.251,5,"(160, 170]"
749,Andre Robertson,Right,70,155,0.251,5,"(150, 160]"
778,Ken Suarez,Right,69,175,0.227,5,"(170, 180]"
882,Mike Krukow,Right,77,205,0.193,5,"(200, 210]"
887,Ron Clark,Right,70,175,0.189,5,"(170, 180]"
904,Frank Quilici,Right,73,170,0.214,5,"(160, 170]"
935,Tommy John,Right,75,180,0.157,5,"(170, 180]"
943,Luis Tiant,Right,72,180,0.164,5,"(170, 180]"
302,Rick Sweet,Both,73,200,0.234,6,"(190, 200]"
626,Miguel Dilone,Both,72,160,0.265,6,"(150, 160]"
684,Buddy Biancalana,Both,71,160,0.205,6,"(150, 160]"
985,Tim Blackwell,Both,71,170,0.228,6,"(160, 170]"
1041,Wilbur Howard,Both,74,170,0.25,6,"(160, 170]"
13,Frank Tepedino,Left,71,185,0.241,6,"(180, 190]"
343,Rich Chiles,Left,71,170,0.254,6,"(160, 170]"
416,Bob Knepper,Left,75,195,0.137,6,"(190, 200]"
690,Ty Cline,Left,72,170,0.238,6,"(160, 170]"
780,Ron Stone,Left,74,185,0.241,6,"(180, 190]"
