,name,handedness,height,weight,avg,HR,w_group
673,R.J. Reynolds,Both,72,190,0.267,35,"(180, 190]"
615,Al Woods,Left,75,190,0.271,35,"(180, 190]"
974,Jake Wood,Right,73,163,0.25,35,"(160, 170]"
61,Bump Wills,Both,69,172,0.266,36,"(170, 180]"
262,Larry Stahl,Left,72,175,0.232,36,"(170, 180]"
471,Vic Davalillo,Left,67,150,0.279,36,"(140, 150]"
785,Ted Uhlaender,Left,74,190,0.263,36,"(180, 190]"
647,Terry Harper,Right,76,195,0.253,36,"(190, 200]"
862,Damaso Garcia,Right,73,165,0.283,36,"(160, 170]"
933,Charlie Moore,Right,71,180,0.261,36,"(170, 180]"
1104,Bill Almon,Right,75,180,0.254,36,"(170, 180]"
87,Omar Moreno,Left,74,180,0.252,37,"(170, 180]"
948,Len Gabrielson,Left,76,210,0.253,37,"(200, 210]"
421,Pedro Garcia,Right,70,175,0.22,37,"(170, 180]"
600,Dave Hostetler,Right,76,215,0.229,37,"(210, 220]"
769,Luis Aguayo,Right,69,173,0.236,37,"(170, 180]"
144,Benny Ayala,Right,73,185,0.251,38,"(180, 190]"
179,Chris Brown,Right,72,185,0.269,38,"(180, 190]"
593,Mickey Hatcher,Right,74,200,0.28,38,"(190, 200]"
640,Brant Alyea,Right,75,215,0.247,38,"(210, 220]"
1144,Floyd Rayford,Right,70,190,0.244,38,"(180, 190]"
504,Rob Wilfong,Left,73,180,0.248,39,"(170, 180]"
120,Ed Spiezio,Right,71,180,0.238,39,"(170, 180]"
307,Ron Hunt,Right,72,186,0.273,39,"(180, 190]"
442,Frank Fernandez,Right,72,185,0.199,39,"(180, 190]"
459,Hector Cruz,Right,71,170,0.225,39,"(160, 170]"
743,Wayne Nordhagen,Right,74,205,0.282,39,"(200, 210]"
1060,Jerry Grote,Right,70,185,0.252,39,"(180, 190]"
483,Joe Hague,Left,72,195,0.239,40,"(190, 200]"
585,Marvell Wynne,Left,71,175,0.247,40,"(170, 180]"
191,Bucky Dent,Right,69,170,0.247,40,"(160, 170]"
197,Billy Conigliaro,Right,72,180,0.256,40,"(170, 180]"
200,Billy Cowan,Right,72,170,0.236,40,"(160, 170]"
596,John Orsino,Right,75,215,0.249,40,"(210, 220]"
648,Jerry Royster,Right,72,165,0.249,40,"(160, 170]"
77,Walt Bond,Left,79,228,0.256,41,"(220, 230]"
289,Billy Bryan,Left,76,200,0.216,41,"(190, 200]"
550,Dalton Jones,Left,73,180,0.235,41,"(170, 180]"
551,Rennie Stennett,Right,71,160,0.274,41,"(150, 160]"
704,Dave Stapleton,Right,73,178,0.271,41,"(170, 180]"
842,John Castino,Right,71,175,0.278,41,"(170, 180]"
1017,Freddie Patek,Right,65,148,0.242,41,"(140, 150]"
669,Ron Oester,Both,74,185,0.265,42,"(180, 190]"
768,George Wright,Both,71,180,0.245,42,"(170, 180]"
151,Eddie Milner,Left,71,173,0.253,42,"(170, 180]"
228,Terry Crowley,Left,72,180,0.25,42,"(170, 180]"
354,Craig Reynolds,Left,73,175,0.256,42,"(170, 180]"
257,Andres Thomas,Right,73,170,0.234,42,"(160, 170]"
425,Derrel Thomas,Both,72,160,0.249,43,"(150, 160]"
233,Phil Roof,Right,74,190,0.215,43,"(180, 190]"
426,Art Howe,Right,74,190,0.26,43,"(180, 190]"
1084,Rich Dauer,Right,72,180,0.257,43,"(170, 180]"
161,Darryl Motley,Right,69,196,0.243,44,"(190, 200]"
637,Bob Johnson,Right,70,175,0.272,44,"(170, 180]"
654,Bill Stein,Right,70,170,0.267,44,"(160, 170]"
1064,Tito Fuentes,Both,71,175,0.268,45,"(170, 180]"
821,Jerry Turner,Left,69,180,0.257,45,"(170, 180]"
767,Sam Bowens,Right,73,188,0.223,45,"(180, 190]"
1029,Roy Foster,Right,72,185,0.253,45,"(180, 190]"
248,Willie Smith,Left,72,182,0.248,46,"(180, 190]"
72,Cesar Tovar,Right,69,155,0.278,46,"(150, 160]"
92,John Stearns,Right,72,185,0.26,46,"(180, 190]"
914,Bill Sample,Right,69,175,0.272,46,"(170, 180]"
917,Craig Kusick,Right,75,210,0.235,46,"(200, 210]"
1073,Bill Russell,Right,72,175,0.263,46,"(170, 180]"
93,Larry Brown,Right,70,160,0.233,47,"(150, 160]"
642,Lou Johnson,Right,71,170,0.258,48,"(160, 170]"
174,Andy Etchebarren,Right,73,190,0.235,49,"(180, 190]"
206,Dave Roberts,Right,75,215,0.239,49,"(210, 220]"
762,Dale Berra,Right,72,180,0.236,49,"(170, 180]"
312,Tony Solaita,Left,72,210,0.255,50,"(200, 210]"
85,Joe Azcue,Right,72,190,0.252,50,"(180, 190]"
225,Paul Casanova,Right,76,180,0.225,50,"(170, 180]"
796,Rick Burleson,Right,70,165,0.273,50,"(160, 170]"
288,Cesar Geronimo,Left,72,165,0.258,51,"(160, 170]"
1012,Al Ferrara,Right,73,200,0.259,51,"(190, 200]"
516,Rich Reese,Left,75,185,0.253,52,"(180, 190]"
688,Steve Braun,Left,70,180,0.271,52,"(170, 180]"
983,Ron Blomberg,Left,73,195,0.293,52,"(190, 200]"
701,Buddy Bradford,Right,71,170,0.226,52,"(160, 170]"
435,Johnny Ray,Both,71,170,0.29,53,"(160, 170]"
491,Mike Hegan,Left,73,188,0.242,53,"(180, 190]"
180,Al Bumbry,Left,68,170,0.281,54,"(160, 170]"
999,Champ Summers,Left,74,205,0.255,54,"(200, 210]"
156,Cookie Rojas,Right,70,160,0.263,54,"(150, 160]"
957,Clay Dalrymple,Left,72,190,0.233,55,"(180, 190]"
398,Gene Alley,Right,70,160,0.254,55,"(150, 160]"
891,Gary Alexander,Right,74,195,0.23,55,"(190, 200]"
284,Rick Manning,Left,73,180,0.257,56,"(170, 180]"
339,Bobby Knoop,Right,73,170,0.236,56,"(160, 170]"
445,Ron Jackson,Right,72,200,0.259,56,"(190, 200]"
651,Barry Bonnell,Right,75,190,0.272,56,"(180, 190]"
729,Paul Schaal,Right,71,165,0.244,57,"(160, 170]"
884,Barry Foote,Right,75,205,0.23,57,"(200, 210]"
17,Buck Martinez,Right,70,190,0.225,58,"(180, 190]"
175,Ken Berry,Right,72,175,0.255,58,"(170, 180]"
316,Joe Foy,Right,72,215,0.248,58,"(210, 220]"
666,Bill Sudakis,Both,73,190,0.234,59,"(180, 190]"
324,Adolfo Phillips,Right,73,175,0.247,59,"(170, 180]"
1072,Ron LeFlore,Right,72,200,0.288,59,"(190, 200]"
48,Ed Brinkman,Right,72,170,0.224,60,"(160, 170]"
438,Enos Cabell,Right,76,170,0.277,60,"(160, 170]"
49,Wayne Garrett,Left,71,175,0.239,61,"(170, 180]"
104,Gary Thomasson,Left,73,180,0.249,61,"(170, 180]"
417,Mickey Rivers,Left,70,165,0.295,61,"(160, 170]"
676,Ray Fosse,Right,74,215,0.256,61,"(210, 220]"
956,Bill Schroeder,Right,74,200,0.24,61,"(190, 200]"
1016,Dave Nicholson,Right,74,215,0.212,61,"(210, 220]"
1032,Manny Trillo,Right,73,150,0.263,61,"(140, 150]"
1061,Ellie Hendricks,Left,73,175,0.22,62,"(170, 180]"
1109,Dave Revering,Left,76,210,0.265,62,"(200, 210]"
63,Pat Putnam,Left,72,205,0.255,63,"(200, 210]"
484,Bake McBride,Left,74,190,0.299,63,"(180, 190]"
28,Jeff Newman,Right,74,215,0.224,63,"(210, 220]"
938,Wes Parker,Both,73,180,0.267,64,"(170, 180]"
430,Lamar Johnson,Right,74,215,0.287,64,"(210, 220]"
1071,Butch Wynegar,Both,73,190,0.255,65,"(180, 190]"
138,Joe Lahoud,Left,73,198,0.223,65,"(190, 200]"
211,Charlie Spikes,Right,75,215,0.246,65,"(210, 220]"
230,Lou Clinton,Right,73,185,0.247,65,"(180, 190]"
433,Manny Sanguillen,Right,72,193,0.296,65,"(190, 200]"
951,Tom Grieve,Right,74,190,0.249,65,"(180, 190]"
78,Merv Rettenmund,Right,70,190,0.271,66,"(180, 190]"
451,Dick Dietz,Right,73,195,0.261,66,"(190, 200]"
556,Mike Andrews,Right,75,195,0.258,66,"(190, 200]"
955,Danny Cater,Right,72,170,0.276,66,"(160, 170]"
112,Floyd Robinson,Left,69,175,0.283,67,"(170, 180]"
1067,Art Shamsky,Left,73,168,0.253,68,"(160, 170]"
396,Ken Reitz,Right,72,180,0.26,68,"(170, 180]"
506,Steve Henderson,Right,74,190,0.28,68,"(180, 190]"
1095,Mike Shannon,Right,75,195,0.255,68,"(190, 200]"
682,Charley Smith,Right,73,170,0.239,69,"(160, 170]"
937,John Ellis,Right,74,225,0.262,69,"(220, 230]"
1091,Jerry Mumphrey,Both,74,185,0.289,70,"(180, 190]"
278,Glenn Hubbard,Right,69,150,0.244,70,"(140, 150]"
103,Tom Brookens,Right,70,165,0.246,71,"(160, 170]"
1045,Mike Young,Both,74,195,0.247,72,"(190, 200]"
663,Mitchell Page,Left,74,205,0.266,72,"(200, 210]"
389,Bernie Allen,Left,72,175,0.239,73,"(170, 180]"
477,Andy Kosco,Right,75,205,0.236,73,"(200, 210]"
1007,Ron Swoboda,Right,74,195,0.242,73,"(190, 200]"
208,Jim Lefebvre,Both,72,180,0.251,74,"(170, 180]"
19,Tommy McCraw,Left,72,183,0.246,75,"(180, 190]"
934,Ralph Garr,Left,71,185,0.306,75,"(180, 190]"
819,Pat Kelly,Left,73,185,0.264,76,"(180, 190]"
268,George Mitterwald,Right,74,195,0.236,76,"(190, 200]"
632,Tony Horton,Right,75,210,0.268,76,"(200, 210]"
367,Milt May,Left,72,190,0.263,77,"(180, 190]"
549,Jim Dwyer,Left,70,165,0.26,77,"(160, 170]"
76,Rich Rollins,Right,70,185,0.269,77,"(180, 190]"
320,Leroy Stanton,Right,73,195,0.244,77,"(190, 200]"
495,Tim Laudner,Right,75,212,0.225,77,"(210, 220]"
624,Don Wert,Right,70,162,0.242,77,"(160, 170]"
88,Julian Javier,Right,73,175,0.257,78,"(170, 180]"
108,Otto Velez,Right,72,170,0.251,78,"(160, 170]"
724,Alex Johnson,Right,72,205,0.288,78,"(200, 210]"
931,Phil Bradley,Right,72,185,0.286,78,"(180, 190]"
946,Leon Roberts,Right,75,200,0.267,78,"(190, 200]"
271,Bob Tillman,Right,76,205,0.232,79,"(200, 210]"
441,Juan Beniquez,Right,71,150,0.274,79,"(140, 150]"
1001,Bert Campaneris,Right,70,160,0.259,79,"(150, 160]"
487,Ed Herrmann,Left,73,195,0.24,80,"(190, 200]"
802,Mike Hargrove,Left,72,195,0.29,80,"(190, 200]"
865,Roy Howell,Left,73,190,0.261,80,"(180, 190]"
606,Dick Green,Right,70,180,0.24,80,"(170, 180]"
655,Joel Youngblood,Right,72,180,0.265,80,"(170, 180]"
949,Johnny Edwards,Left,76,220,0.242,81,"(210, 220]"
582,Mike Ivie,Right,75,205,0.269,81,"(200, 210]"
924,John Bateman,Right,75,210,0.23,81,"(200, 210]"
594,Roger Repoz,Left,75,190,0.224,82,"(180, 190]"
633,Randy Hundley,Right,71,170,0.236,82,"(160, 170]"
870,Bobby Darwin,Right,74,190,0.251,83,"(180, 190]"
434,Gates Brown,Left,71,220,0.257,84,"(210, 220]"
689,Ray Knight,Right,73,185,0.271,84,"(180, 190]"
1059,Ed Kirkpatrick,Left,71,195,0.238,85,"(190, 200]"
653,Jerry Martin,Right,73,195,0.251,85,"(190, 200]"
132,Willie Crawford,Left,73,197,0.268,86,"(190, 200]"
628,Bobby Tolan,Left,71,170,0.265,86,"(160, 170]"
708,Dan Meyer,Left,71,180,0.253,86,"(170, 180]"
18,John Wockenfuss,Right,72,190,0.262,86,"(180, 190]"
344,Tom Paciorek,Right,76,215,0.282,86,"(210, 220]"
1140,Ed Charles,Right,70,170,0.263,86,"(160, 170]"
975,Del Unser,Left,73,180,0.258,87,"(170, 180]"
60,Bo Diaz,Right,71,185,0.255,87,"(180, 190]"
981,Alan Ashby,Both,74,185,0.245,90,"(180, 190]"
758,Mike Lum,Left,72,180,0.247,90,"(170, 180]"
958,Carlos May,Left,71,200,0.274,90,"(190, 200]"
411,Mike Davis,Left,74,175,0.259,91,"(170, 180]"
437,Ken Landreaux,Left,70,165,0.268,91,"(160, 170]"
23,Lee Lacy,Right,73,175,0.286,91,"(170, 180]"
155,Cito Gaston,Right,75,190,0.256,91,"(180, 190]"
982,Bob Brenly,Right,74,210,0.247,91,"(200, 210]"
281,Rod Carew,Left,72,170,0.328,92,"(160, 170]"
638,Don Buford,Both,67,160,0.264,93,"(150, 160]"
979,Lee Mazzilli,Both,73,180,0.259,93,"(170, 180]"
756,Cleon Jones,Right,72,185,0.281,93,"(180, 190]"
893,Bob Oliver,Right,75,205,0.256,94,"(200, 210]"
1100,Mike Jorgensen,Left,72,195,0.243,95,"(190, 200]"
476,Jim Sundberg,Right,72,190,0.248,95,"(180, 190]"
987,Jerry Morales,Right,70,155,0.259,95,"(150, 160]"
470,Bernie Carbo,Left,71,173,0.264,96,"(170, 180]"
843,Dave May,Left,70,186,0.251,96,"(180, 190]"
405,Pete Ward,Left,73,185,0.254,98,"(180, 190]"
162,Ozzie Virgil,Right,73,180,0.243,98,"(170, 180]"
879,Butch Hobson,Right,73,193,0.248,98,"(190, 200]"
759,Johnny Grubb,Left,75,175,0.278,99,"(170, 180]"
408,Duke Sims,Left,74,197,0.239,100,"(190, 200]"
469,Bruce Bochte,Left,75,195,0.282,100,"(190, 200]"
176,Dave Concepcion,Right,74,155,0.267,101,"(150, 160]"
1030,Denis Menke,Right,72,185,0.25,101,"(180, 190]"
167,Jay Johnstone,Left,73,175,0.267,102,"(170, 180]"
46,Eric Soderholm,Right,71,187,0.264,102,"(180, 190]"
413,Steve Yeager,Right,72,190,0.228,102,"(180, 190]"
878,Lou Piniella,Right,72,182,0.291,102,"(180, 190]"
902,Ollie Brown,Right,74,178,0.265,102,"(170, 180]"
194,Tony Gonzalez,Left,69,170,0.286,103,"(160, 170]"
793,Bob Boone,Right,74,195,0.254,105,"(190, 200]"
675,Lee Thomas,Left,74,195,0.255,106,"(190, 200]"
711,Larry Herndon,Right,75,190,0.274,107,"(180, 190]"
39,Fred Whitfield,Left,73,190,0.253,108,"(180, 190]"
356,Al Cowens,Right,73,197,0.27,108,"(190, 200]"
465,Dave Duncan,Right,74,190,0.214,109,"(180, 190]"
1154,Phil Garner,Right,70,175,0.26,109,"(170, 180]"
846,Willie Aikens,Left,75,220,0.271,110,"(210, 220]"
856,Max Alvis,Right,71,185,0.247,111,"(180, 190]"
697,Curt Blefary,Left,74,195,0.237,112,"(190, 200]"
337,Jim Morrison,Right,71,175,0.26,112,"(170, 180]"
1046,Chris Speier,Right,73,175,0.246,112,"(170, 180]"
646,Greg Walker,Left,75,205,0.26,113,"(200, 210]"
234,Chuck Hinton,Right,73,180,0.264,113,"(170, 180]"
303,Thurman Munson,Right,71,190,0.292,113,"(180, 190]"
899,Bob Robertson,Right,73,195,0.242,115,"(190, 200]"
481,John Lowenstein,Left,72,175,0.253,116,"(170, 180]"
942,Rick Reichardt,Right,75,210,0.261,116,"(200, 210]"
571,Garry Maddox,Right,75,175,0.285,117,"(170, 180]"
928,Mickey Stanley,Right,73,185,0.248,117,"(180, 190]"
185,Ed Kranepool,Left,75,205,0.261,118,"(200, 210]"
299,Mike Easler,Left,72,190,0.293,118,"(180, 190]"
1066,Leo Cardenas,Right,71,150,0.257,118,"(140, 150]"
222,Wayne Gross,Left,74,210,0.233,121,"(200, 210]"
693,Jimmie Hall,Left,72,175,0.254,121,"(170, 180]"
159,Dan Ford,Right,73,185,0.27,121,"(180, 190]"
198,Gary Roenicke,Right,75,205,0.247,121,"(200, 210]"
722,Keith Moreland,Right,72,190,0.279,121,"(180, 190]"
217,Ken Henderson,Both,74,180,0.257,122,"(170, 180]"
199,Don Lock,Right,74,195,0.238,122,"(190, 200]"
369,Nick Esasky,Right,75,200,0.25,122,"(190, 200]"
1105,Joe Ferguson,Right,74,200,0.24,122,"(190, 200]"
605,Willie Upshaw,Left,72,185,0.262,123,"(180, 190]"
831,Ken Phelps,Left,73,209,0.239,123,"(200, 210]"
963,Ellis Valentine,Right,76,205,0.278,123,"(200, 210]"
254,Aurelio Rodriguez,Right,70,180,0.237,124,"(170, 180]"
618,Jody Davis,Right,76,192,0.245,127,"(190, 200]"
189,Jorge Orta,Left,70,170,0.278,130,"(160, 170]"
795,Steve Kemp,Left,72,195,0.278,130,"(190, 200]"
1090,Mike Epstein,Left,75,230,0.244,130,"(220, 230]"
705,Gary Ward,Right,74,195,0.276,130,"(190, 200]"
782,Tommie Agee,Right,71,195,0.255,130,"(190, 200]"
515,John Milner,Left,72,185,0.249,131,"(180, 190]"
1122,Ken Harrelson,Right,74,190,0.239,131,"(180, 190]"
700,Mack Jones,Left,73,180,0.252,133,"(170, 180]"
1004,Tom Haller,Left,76,195,0.257,134,"(190, 200]"
355,Paul Blair,Right,72,168,0.25,134,"(160, 170]"
962,Davey Johnson,Right,73,170,0.261,136,"(160, 170]"
4,Jose Cardenal,Right,70,150,0.275,138,"(140, 150]"
847,Earl Williams,Right,75,215,0.247,138,"(210, 220]"
598,Johnny Briggs,Left,73,190,0.253,139,"(180, 190]"
996,Willie Montanez,Left,72,170,0.275,139,"(160, 170]"
69,Jeffrey Leonard,Right,74,200,0.266,144,"(190, 200]"
543,Jim Spencer,Left,74,195,0.25,146,"(190, 200]"
854,Tommy Harper,Right,69,165,0.257,146,"(160, 170]"
251,Leon Durham,Left,73,185,0.277,147,"(180, 190]"
919,Ruppert Jones,Left,70,170,0.25,147,"(160, 170]"
1014,Sixto Lezcano,Right,70,165,0.271,148,"(160, 170]"
114,Lou Brock,Left,71,170,0.293,149,"(160, 170]"
993,Jim Fregosi,Right,73,190,0.265,151,"(180, 190]"
733,Tom Tresh,Both,73,180,0.245,153,"(170, 180]"
418,Jim Northrup,Left,75,190,0.267,153,"(180, 190]"
872,Dan Driessen,Left,71,187,0.267,153,"(180, 190]"
927,Doug Rader,Right,74,208,0.251,155,"(200, 210]"
988,Davey Lopes,Right,69,170,0.263,155,"(160, 170]"
125,Ken McMullen,Right,75,190,0.248,156,"(180, 190]"
33,Jim Hickman,Right,75,192,0.252,159,"(190, 200]"
561,Donn Clendenon,Right,76,209,0.274,159,"(200, 210]"
24,Pete Rose,Both,71,192,0.303,160,"(190, 200]"
964,Roy White,Both,70,160,0.271,160,"(150, 160]"
100,Frank White,Right,71,165,0.255,160,"(160, 170]"
512,Bill Melton,Right,74,200,0.253,160,"(190, 200]"
602,Keith Hernandez,Left,72,180,0.296,162,"(170, 180]"
378,Roy Smalley,Both,73,185,0.257,163,"(180, 190]"
792,Bill Madlock,Right,71,180,0.305,163,"(170, 180]"
392,Claudell Washington,Left,72,190,0.278,164,"(180, 190]"
263,Jose Cruz,Left,72,170,0.284,165,"(160, 170]"
1088,Dwayne Murphy,Left,73,185,0.246,166,"(180, 190]"
265,Bill Robinson,Right,74,189,0.258,166,"(180, 190]"
294,Larry Hisle,Right,74,193,0.273,166,"(190, 200]"
1146,Tony Conigliaro,Right,75,185,0.264,166,"(180, 190]"
168,Jim Ray Hart,Right,71,185,0.278,170,"(180, 190]"
232,Nate Colbert,Right,74,190,0.243,173,"(180, 190]"
518,Bill Buckner,Left,72,185,0.289,174,"(180, 190]"
1050,Don Money,Right,73,170,0.261,176,"(160, 170]"
1051,Joe Rudi,Right,74,200,0.264,179,"(190, 200]"
1023,Willie Davis,Left,74,180,0.279,182,"(170, 180]"
1121,Bob Watson,Right,72,201,0.295,184,"(200, 210]"
67,Chris Chambliss,Left,73,195,0.279,185,"(190, 200]"
538,Darrell Porter,Left,72,193,0.247,188,"(190, 200]"
783,Bob Bailey,Right,73,180,0.257,189,"(170, 180]"
205,Hal McRae,Right,71,180,0.29,191,"(170, 180]"
397,Amos Otis,Right,71,165,0.277,193,"(160, 170]"
283,Toby Harrah,Right,72,175,0.264,195,"(170, 180]"
559,Cliff Johnson,Right,76,215,0.258,196,"(210, 220]"
327,Dick McAuliffe,Left,71,176,0.247,197,"(170, 180]"
832,Cesar Cedeno,Right,74,175,0.285,199,"(170, 180]"
350,Oscar Gamble,Left,71,160,0.265,200,"(150, 160]"
576,Don Mincher,Left,75,205,0.249,200,"(200, 210]"
1080,Bill Freehan,Right,75,203,0.262,200,"(200, 210]"
614,Buddy Bell,Right,73,180,0.279,201,"(170, 180]"
1074,Gene Tenace,Right,72,190,0.241,201,"(180, 190]"
608,Richie Hebner,Left,73,195,0.276,203,"(190, 200]"
857,Rico Carty,Right,75,200,0.299,204,"(190, 200]"
381,Richie Zisk,Right,73,200,0.287,207,"(190, 200]"
1096,Jason Thompson,Left,76,200,0.261,208,"(190, 200]"
121,Rico Petrocelli,Right,72,175,0.251,210,"(170, 180]"
753,Chet Lemon,Right,72,190,0.273,215,"(180, 190]"
563,Bob Horner,Right,73,195,0.277,218,"(190, 200]"
357,Al Oliver,Left,72,195,0.303,219,"(190, 200]"
906,Joe Pepitone,Left,74,185,0.258,219,"(180, 190]"
154,Tony Oliva,Left,73,175,0.304,220,"(170, 180]"
692,Bobby Grich,Right,74,180,0.266,224,"(170, 180]"
287,Gary Matthews,Right,74,185,0.281,234,"(180, 190]"
635,Ben Oglivie,Left,74,160,0.273,235,"(150, 160]"
841,Doug DeCinces,Right,74,190,0.259,237,"(180, 190]"
347,Jeff Burroughs,Right,73,200,0.261,240,"(190, 200]"
304,Rick Monday,Left,75,193,0.264,241,"(190, 200]"
1103,Cecil Cooper,Left,74,165,0.298,241,"(160, 170]"
267,Sal Bando,Right,72,195,0.254,242,"(190, 200]"
586,Dusty Baker,Right,74,183,0.278,242,"(180, 190]"
622,Deron Johnson,Right,74,200,0.244,245,"(190, 200]"
99,Ken Singleton,Both,76,210,0.282,246,"(200, 210]"
786,Ted Simmons,Both,71,193,0.285,248,"(190, 200]"
876,Tony Armas,Right,71,182,0.252,251,"(180, 190]"
787,Bobby Murcer,Left,71,160,0.277,252,"(150, 160]"
1011,Joe Torre,Right,74,212,0.297,252,"(210, 220]"
892,Andre Thornton,Right,75,200,0.254,253,"(190, 200]"
395,John Mayberry,Left,75,215,0.253,255,"(210, 220]"
360,Larry Parrish,Right,75,190,0.263,256,"(180, 190]"
280,George Hendrick,Right,75,195,0.278,267,"(190, 200]"
672,Joe Morgan,Left,67,160,0.271,268,"(150, 160]"
536,Gorman Thomas,Right,74,210,0.225,268,"(200, 210]"
533,George Scott,Right,74,200,0.268,271,"(190, 200]"
575,Steve Garvey,Right,70,192,0.294,272,"(190, 200]"
991,Jimmy Wynn,Right,70,160,0.25,291,"(150, 160]"
348,Rusty Staub,Left,74,190,0.279,292,"(180, 190]"
293,Fred Lynn,Left,73,185,0.283,306,"(180, 190]"
627,Greg Luzinski,Right,73,220,0.276,307,"(210, 220]"
959,Reggie Smith,Both,72,180,0.287,314,"(170, 180]"
1069,Ron Cey,Right,70,185,0.261,316,"(180, 190]"
877,Willie Horton,Right,71,209,0.273,325,"(200, 210]"
1026,Bobby Bonds,Right,73,190,0.268,332,"(180, 190]"
383,Don Baylor,Right,73,190,0.26,338,"(180, 190]"
866,Boog Powell,Left,76,230,0.266,339,"(220, 230]"
166,Ron Santo,Right,72,190,0.277,342,"(180, 190]"
239,George Foster,Right,73,180,0.274,348,"(170, 180]"
968,Dick Allen,Right,71,187,0.292,351,"(180, 190]"
813,Lee May,Right,75,195,0.267,354,"(190, 200]"
203,Tony Perez,Right,74,175,0.279,379,"(170, 180]"
1052,Jim Rice,Right,74,200,0.298,382,"(190, 200]"
761,Johnny Bench,Right,73,197,0.267,389,"(190, 200]"
295,Graig Nettles,Left,72,180,0.248,390,"(170, 180]"
16,Darrell Evans,Left,74,200,0.248,414,"(190, 200]"
45,Dave Kingman,Right,78,210,0.236,442,"(200, 210]"
422,Carl Yastrzemski,Left,71,175,0.285,452,"(170, 180]"
972,Willie Stargell,Left,74,188,0.282,475,"(180, 190]"
995,Mike Schmidt,Right,74,195,0.267,548,"(190, 200]"
656,Reggie Jackson,Left,72,195,0.262,563,"(190, 200]"
